group_id,category,subcategory,framework,ecosystem
EPPlus.Interfaces,,,,dotnet
EPPlus.System.Drawing,,,,dotnet
EasyNetQ,,,,dotnet
Elastic.Apm,,,,dotnet
Elastic.Apm.AspNetCore,,,,dotnet
Elastic.Apm.Extensions.Hosting,,,,dotnet
Elasticsearch.Net,,,,dotnet
EmptyFiles,,,,dotnet
EnterpriseLibrary.Common,,,,dotnet
EntityFramework,,,,dotnet
Enums.NET,,,,dotnet
ExcelDataReader,,,,dotnet
ExcelDataReader.DataSet,,,,dotnet
ExcelNumberFormat,,,,dotnet
FSharp.Core,,,,dotnet
FakeItEasy,,,,dotnet
Fare,,,,dotnet
FastMember,,,,dotnet
FirebaseAdmin,,,,dotnet
FluentAssertions,,,,dotnet
FluentFTP,,,,dotnet
FluentMigrator,,,,dotnet
FluentMigrator.Abstractions,,,,dotnet
FluentMigrator.Runner,,,,dotnet
FluentMigrator.Runner.Core,,,,dotnet
FluentValidation,,,,dotnet
FluentValidation.AspNetCore,,,,dotnet
FluentValidation.DependencyInjectionExtensions,,,,dotnet
Flurl,,,,dotnet
Flurl.Http,,,,dotnet
Fody,,,,dotnet
Fractions,,,,dotnet
Gherkin,,,,dotnet
GitVersion.Tool,,,,dotnet
Google.Api.CommonProtos,,,,dotnet
Google.Api.Gax,,,,dotnet
Google.Api.Gax.Grpc,,,,dotnet
Google.Api.Gax.Grpc.GrpcCore,,,,dotnet
Google.Api.Gax.Rest,,,,dotnet
Google.Apis,,,,dotnet
Google.Apis.Auth,,,,dotnet
Google.Apis.Core,,,,dotnet
Google.Apis.Storage.v1,,,,dotnet
Google.Cloud.Iam.V1,,,,dotnet
Google.Cloud.PubSub.V1,,,,dotnet
Google.Cloud.Storage.V1,,,,dotnet
Google.LongRunning,,,,dotnet
Google.Protobuf,,,,dotnet
GraphQL,,,,dotnet
GraphQL-Parser,,,,dotnet
GraphQL.Client,,,,dotnet
GraphQL.Client.Abstractions,,,,dotnet
GraphQL.Client.Abstractions.Websocket,,,,dotnet
