group_id,artifact_id,framework,category,subcategory,ecosystem
org.springframework.boot,spring-boot-actuator-docs,Actuator Docs,Developer Tooling,Build Tools,spring
org.springframework.boot,spring-boot-starter-mobile,Starter Mobile,Application Development,Mobile & Embedded,spring
org.springframework.boot,spring-boot-starter-remote-shell,Starter Remote Shell,Developer Tooling,Local Development Runtimes,spring
org.springframework.boot,spring-boot-starter-data-gemfire,Starter Data Gemfire,Data Management,Data Lakes,spring
org.springframework.boot,spring-boot-starter-social-twitter,Starter Social Twitter,Application Integration,Service Integration Frameworks,spring
org.springframework.boot,spring-boot-project,Project,Developer Tooling,Dependency Management,spring
org.springframework.boot,spring-boot-legacy,Legacy,Utility Libraries,General Utilities,spring
org.springframework.boot,spring-boot-security-tests,Security Tests,Testing & Quality,Testing Frameworks,spring
org.springframework.boot,spring-boot-deployment-test-wildfly,Deployment Test Wildfly,Testing & Quality,Testing Frameworks,spring
org.springframework.boot,spring-boot-gradle-tests,Gradle Tests,Testing & Quality,Testing Frameworks,spring
org.springframework.boot,spring-boot-deployment-tests,Deployment Tests,Testing & Quality,Testing Frameworks,spring
org.springframework.boot,spring-boot-deployment-test-wlp,Deployment Test Wlp,Testing & Quality,Testing Frameworks,spring
org.springframework.boot,spring-boot-deployment-test-tomcat,Deployment Test Tomcat,Testing & Quality,Testing Frameworks,spring
org.springframework.boot,spring-boot-deployment-test-tomee,Deployment Test Tomee,Testing & Quality,Testing Frameworks,spring
org.springframework.boot,spring-boot-deployment-test-glassfish,Deployment Test Glassfish,Testing & Quality,Testing Frameworks,spring
org.springframework.boot,spring-boot-launch-script-tests,Launch Script Tests,Developer Tooling,Local Development Runtimes,spring
org.springframework.boot,spring-boot-devtools-tests,Devtools Tests,Testing & Quality,Testing Frameworks,spring
org.springframework.boot,spring-boot-starter-hornetq,Starter Hornetq,Application Development,Application Bootstrapping,spring
org.springframework.boot,spring-boot-starter-ws,Starter Ws,Application Development,Web Frameworks,spring
org.springframework.boot,spring-boot-starter-velocity,Starter Velocity,Application Development,Template Engines,spring
org.springframework.boot,spring-boot-starter-log4j,Starter Log4J,Application Development,Application Bootstrapping,spring
org.springframework.boot,spring-boot-dependency-tools,Dependency Tools,Utility Libraries,General Utilities,spring
org.springframework.boot,spring-boot-versions,Versions,Utility Libraries,General Utilities,spring
org.springframework.boot,spring-boot-security-tests-web-helloworld,Security Tests Web Helloworld,Utility Libraries,General Utilities,spring
org.springframework.boot,spring-boot-sample-xml-archetype,Sample Xml Archetype,Utility Libraries,General Utilities,spring
org.springframework.boot,spring-boot-archetypes,Archetypes,Utility Libraries,General Utilities,spring
org.springframework.boot,spring-boot-starter-data-ldap,Spring Boot Starter Data Ldap,Data Management,NoSQL Databases
org.springframework.boot,spring-boot-starter-integration,Spring Boot Starter Integration,Application Integration,Service Integration Frameworks
org.springframework.boot,spring-boot-starter-jersey,Spring Boot Starter Jersey,Application Development,Web Frameworks
org.springframework.boot,spring-boot-starter-json,Spring Boot Starter Json,Serialization,JSON & XML
org.springframework.boot,spring-boot-starter-logging,Spring Boot Starter Logging,Observability,Logging
org.springframework.boot,spring-boot-starter-web-services,Spring Boot Starter Web Services,Application Integration,RPC & Web Services
org.springframework.boot,spring-boot-starter-websocket,Spring Boot Starter Websocket,Application Integration,Messaging Protocols
org.springframework.boot,spring-boot-starter-jta-narayana,Spring Boot Starter Jta Narayana,Application Development,Component Models
org.springframework.boot,spring-boot-starter-redis,Spring Boot Starter Redis,Data Management,Caching
org.springframework.boot,spring-boot-starter-log4j,Spring Boot Starter Log4J,Observability,Logging
